"Date Printed: Friday, April 24, 2026 6:19:32 PM"
Title: "Primary and Secondary Syphilis | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Primary and Secondary Syphilis","2017","Massachusetts","25","26","0.7"
"Primary and Secondary Syphilis","2017","Michigan","26","34","0.7"
"Primary and Secondary Syphilis","2017","Minnesota","27","38","1.4"
"Primary and Secondary Syphilis","2017","Mississippi","28","88","5.7"
"Primary and Secondary Syphilis","2017","Missouri","29","93","3.0"
"Primary and Secondary Syphilis","2017","Montana","30","9","1.7"
"Primary and Secondary Syphilis","2017","Nebraska","31","7","0.7"
"Primary and Secondary Syphilis","2017","Nevada","32","75","5.1"
"Primary and Secondary Syphilis","2017","New Hampshire","33","4","0.6"
"Primary and Secondary Syphilis","2017","New Jersey","34","34","0.7"
"Primary and Secondary Syphilis","2017","New Mexico","35","19","1.8"
"Primary and Secondary Syphilis","2017","New York","36","121","1.2"
"Primary and Secondary Syphilis","2017","North Carolina","37","127","2.4"
"Primary and Secondary Syphilis","2017","North Dakota","38","5","1.4"
"Primary and Secondary Syphilis","2017","Ohio","39","112","1.9"
"Primary and Secondary Syphilis","2017","Oklahoma","40","67","3.4"
"Primary and Secondary Syphilis","2017","Oregon","41","52","2.5"
"Primary and Secondary Syphilis","2017","Pennsylvania","42","76","1.2"
"Primary and Secondary Syphilis","2017","Rhode Island","44","7","1.3"
"Primary and Secondary Syphilis","2017","South Carolina","45","56","2.2"
"Primary and Secondary Syphilis","2017","South Dakota","46","4","0.9"
"Primary and Secondary Syphilis","2017","Tennessee","47","47","1.4"
