"Date Printed: Friday, April 24, 2026 6:18:30 PM"
Title: "Gonorrhea | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | All age groups""
Footnote(s): 
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"Gonorrhea","2009","Florida","12","10,745","114.5"
"Gonorrhea","2010","Florida","12","10,240","106.3"
"Gonorrhea","2011","Florida","12","9,999","102.7"
"Gonorrhea","2012","Florida","12","9,570","97.0"
"Gonorrhea","2013","Florida","12","9,718","97.3"
"Gonorrhea","2014","Florida","12","9,228","91.0"
"Gonorrhea","2015","Florida","12","10,078","97.6"
"Gonorrhea","2016","Florida","12","11,488","109.1"
"Gonorrhea","2017","Florida","12","12,769","119.2"
"Gonorrhea","2018","Florida","12","12,936","119.1"
"Gonorrhea","2008","Georgia","13","8,687","176.4"
"Gonorrhea","2009","Georgia","13","7,253","145.5"
"Gonorrhea","2010","Georgia","13","8,297","166.9"
"Gonorrhea","2011","Georgia","13","8,589","171.2"
"Gonorrhea","2012","Georgia","13","7,921","156.3"
"Gonorrhea","2013","Georgia","13","7,060","138.2"
"Gonorrhea","2014","Georgia","13","6,552","127.0"
"Gonorrhea","2015","Georgia","13","7,322","140.3"
"Gonorrhea","2016","Georgia","13","9,156","173.2"
"Gonorrhea","2017","Georgia","13","9,873","184.7"
"Gonorrhea","2018","Georgia","13","8,718","161.5"
"Gonorrhea","2018","Hawaii","15","531","74.9"
"Gonorrhea","2018","Idaho","16","509","58.3"
"Gonorrhea","2017","Hawaii","15","476","67.0"
"Gonorrhea","2017","Idaho","16","357","41.6"
"Gonorrhea","2016","Hawaii","15","551","77.6"
"Gonorrhea","2016","Idaho","16","237","28.2"
"Gonorrhea","2015","Hawaii","15","446","63.1"
"Gonorrhea","2015","Idaho","16","197","23.9"
"Gonorrhea","2014","Hawaii","15","350","49.7"
"Gonorrhea","2014","Idaho","16","196","24.1"
"Gonorrhea","2013","Hawaii","15","264","37.6"
"Gonorrhea","2013","Idaho","16","87","10.8"
"Gonorrhea","2012","Hawaii","15","299","43.0"
"Gonorrhea","2012","Idaho","16","63","7.9"
"Gonorrhea","2011","Hawaii","15","273","39.7"
"Gonorrhea","2011","Idaho","16","79","10.0"
"Gonorrhea","2010","Hawaii","15","314","46.1"
"Gonorrhea","2010","Idaho","16","68","8.7"
"Gonorrhea","2009","Hawaii","15","264","41.5"
"Gonorrhea","2009","Idaho","16","51","6.6"
"Gonorrhea","2008","Hawaii","15","298","47.1"
"Gonorrhea","2008","Idaho","16","90","11.9"
"Gonorrhea","2008","Illinois","17","11,342","174.1"
"Gonorrhea","2009","Illinois","17","11,248","172.0"
"Gonorrhea","2010","Illinois","17","8,924","136.4"
"Gonorrhea","2011","Illinois","17","9,500","144.9"
"Gonorrhea","2012","Illinois","17","9,837","149.9"
"Gonorrhea","2013","Illinois","17","8,574","130.6"
"Gonorrhea","2014","Illinois","17","7,559","115.2"
"Gonorrhea","2015","Illinois","17","7,698","117.6"
"Gonorrhea","2016","Illinois","17","8,920","136.7"
"Gonorrhea","2017","Illinois","17","9,750","150.0"
"Gonorrhea","2018","Illinois","17","10,064","155.5"
"Gonorrhea","2008","Indiana","18","5,056","156.1"
"Gonorrhea","2009","Indiana","18","3,985","122.5"
"Gonorrhea","2010","Indiana","18","3,598","109.1"
"Gonorrhea","2011","Indiana","18","3,690","111.5"
"Gonorrhea","2012","Indiana","18","4,139","124.7"
"Gonorrhea","2013","Indiana","18","3,796","113.9"
"Gonorrhea","2014","Indiana","18","3,819","114.2"
"Gonorrhea","2015","Indiana","18","3,984","118.9"
"Gonorrhea","2016","Indiana","18","4,811","143.0"
"Gonorrhea","2017","Indiana","18","5,931","175.7"
"Gonorrhea","2018","Indiana","18","6,083","179.2"
"Gonorrhea","2008","Iowa","19","1,024","67.6"
"Gonorrhea","2009","Iowa","19","1,049","68.9"
"Gonorrhea","2010","Iowa","19","1,179","76.6"
"Gonorrhea","2011","Iowa","19","1,217","78.7"
"Gonorrhea","2012","Iowa","19","1,170","75.5"
"Gonorrhea","2015","Iowa","19","1,122","71.5"
"Gonorrhea","2016","Iowa","19","1,267","80.5"
"Gonorrhea","2017","Iowa","19","1,887","119.5"
"Gonorrhea","2018","Iowa","19","2,476","156.5"
"Gonorrhea","2014","Iowa","19","862","55.1"
