"Date Printed: Friday, April 24, 2026 6:20:38 PM"
Title: "HIV diagnoses | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Female | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2024 and 2025 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Small numbers and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category are adjusted for missing information. See Technical notes for more details on data availability and stratifications.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases,Rate per 100000
"HIV diagnoses","2018","Alabama","01","116","5.4"
"HIV diagnoses","2018","Alaska","02","3","1.0"
"HIV diagnoses","2018","Arizona","04","96","3.2"
"HIV diagnoses","2018","Arkansas","05","53","4.1"
"HIV diagnoses","2018","California","06","577","3.5"
"HIV diagnoses","2018","Colorado","08","40","1.7"
"HIV diagnoses","2018","Connecticut","09","59","3.7"
"HIV diagnoses","2018","Delaware","10","22","5.1"
"HIV diagnoses","2018","District of Columbia","11","59","18.4"
"HIV diagnoses","2018","Florida","12","836","8.9"
"HIV diagnoses","2018","Georgia","13","509","11.2"
"HIV diagnoses","2018","Hawaii","15","6","1.0"
"HIV diagnoses","2018","Idaho","16","7","1.0"
"HIV diagnoses","2018","Illinois","17","235","4.3"
"HIV diagnoses","2018","Indiana","18","114","4.0"
"HIV diagnoses","2018","Iowa","19","32","2.4"
"HIV diagnoses","2018","Kansas","20","26","2.1"
"HIV diagnoses","2018","Kentucky","21","67","3.5"
"HIV diagnoses","2018","Louisiana","22","247","12.4"
"HIV diagnoses","2018","Maine","23","7","1.2"
"HIV diagnoses","2018","Maryland","24","270","10.2"
"HIV diagnoses","2018","Massachusetts","25","182","5.9"
"HIV diagnoses","2018","Michigan","26","145","3.4"
"HIV diagnoses","2018","Minnesota","27","66","2.8"
